open_time;close;status;close_shift_1;diff_shift_1;close_shift_2;diff_shift_2;close_shift_3;diff_shift_3;close_shift_4;diff_shift_4;close_shift_5;diff_shift_5;close_shift_6;diff_shift_6
2023-01-12 13:00:00;18284.91;SOBE_2.0;17998.56;-1.57;18086.62;-1.08;18134.55;-0.82;18837.06;3.02;18796.93;2.8;18885.35;3.28
2023-01-12 14:00:00;17998.56;SOBE_2.0;18086.62;0.49;18134.55;0.76;18837.06;4.66;18796.93;4.44;18885.35;4.93;19048.95;5.84
2023-01-12 15:00:00;18086.62;SOBE_2.0;18134.55;0.27;18837.06;4.15;18796.93;3.93;18885.35;4.42;19048.95;5.32;18830.07;4.11
2023-01-12 16:00:00;18134.55;SOBE_2.0;18837.06;3.87;18796.93;3.65;18885.35;4.14;19048.95;5.04;18830.07;3.84;18913.92;4.3
2023-01-13 12:00:00;18864.59;SOBE_2.0;18854.84;-0.05;18996.27;0.7;19261.19;2.1;19133.39;1.42;19256.06;2.08;19292.44;2.27
2023-01-13 13:00:00;18854.84;SOBE_2.0;18996.27;0.75;19261.19;2.16;19133.39;1.48;19256.06;2.13;19292.44;2.32;19362.01;2.69
2023-01-13 14:00:00;18996.27;SOBE_2.0;19261.19;1.39;19133.39;0.72;19256.06;1.37;19292.44;1.56;19362.01;1.93;19473.67;2.51
2023-01-13 15:00:00;19261.19;SOBE_2.0;19133.39;-0.66;19256.06;-0.03;19292.44;0.16;19362.01;0.52;19473.67;1.1;19816.81;2.88
2023-01-13 16:00:00;19133.39;SOBE_2.0;19256.06;0.64;19292.44;0.83;19362.01;1.19;19473.67;1.78;19816.81;3.57;19849.41;3.74
2023-01-13 17:00:00;19256.06;SOBE_2.0;19292.44;0.19;19362.01;0.55;19473.67;1.13;19816.81;2.91;19849.41;3.08;19930.01;3.5
2023-01-13 18:00:00;19292.44;SOBE_2.0;19362.01;0.36;19473.67;0.94;19816.81;2.72;19849.41;2.89;19930.01;3.3;20891.67;8.29
2023-01-13 19:00:00;19362.01;SOBE_2.0;19473.67;0.58;19816.81;2.35;19849.41;2.52;19930.01;2.93;20891.67;7.9;20927.44;8.09
2023-01-13 20:00:00;19473.67;SOBE_2.0;19816.81;1.76;19849.41;1.93;19930.01;2.34;20891.67;7.28;20927.44;7.47;20938.93;7.52
2023-01-13 21:00:00;19816.81;SOBE_2.0;19849.41;0.16;19930.01;0.57;20891.67;5.42;20927.44;5.6;20938.93;5.66;20967.23;5.81
2023-01-13 22:00:00;19849.41;SOBE_2.0;19930.01;0.41;20891.67;5.25;20927.44;5.43;20938.93;5.49;20967.23;5.63;20894.86;5.27
2023-01-13 23:00:00;19930.01;SOBE_2.0;20891.67;4.83;20927.44;5.0;20938.93;5.06;20967.23;5.2;20894.86;4.84;20841.62;4.57
2023-01-14 03:00:00;20967.23;CAI_2.0;20894.86;-0.35;20841.62;-0.6;20955.57;-0.06;20897.36;-0.33;21003.35;0.17;20523.75;-2.12
2023-01-14 06:00:00;20955.57;CAI_2.0;20897.36;-0.28;21003.35;0.23;20523.75;-2.06;20496.77;-2.19;20721.73;-1.12;20911.19;-0.21
2023-01-14 08:00:00;21003.35;CAI_2.0;20523.75;-2.28;20496.77;-2.41;20721.73;-1.34;20911.19;-0.44;20940.71;-0.3;20834.4;-0.8
2023-01-14 09:00:00;20523.75;SOBE_2.0;20496.77;-0.13;20721.73;0.96;20911.19;1.89;20940.71;2.03;20834.4;1.51;20786.74;1.28
2023-01-14 10:00:00;20496.77;SOBE_2.0;20721.73;1.1;20911.19;2.02;20940.71;2.17;20834.4;1.65;20786.74;1.41;20810.66;1.53
2023-01-16 02:00:00;21209.31;CAI_2.0;21075.68;-0.63;21148.99;-0.28;21187.16;-0.1;21149.8;-0.28;21109.23;-0.47;20747.7;-2.18
2023-01-16 05:00:00;21187.16;CAI_2.0;21149.8;-0.18;21109.23;-0.37;20747.7;-2.07;20824.08;-1.71;20850.68;-1.59;20817.56;-1.74
2023-01-16 12:00:00;20787.54;SOBE_2.0;20827.47;0.19;20860.68;0.35;20994.17;0.99;20998.5;1.01;21103.99;1.52;21281.97;2.38
2023-01-16 13:00:00;20827.47;SOBE_2.0;20860.68;0.16;20994.17;0.8;20998.5;0.82;21103.99;1.33;21281.97;2.18;21308.57;2.31
2023-01-16 14:00:00;20860.68;SOBE_2.0;20994.17;0.64;20998.5;0.66;21103.99;1.17;21281.97;2.02;21308.57;2.15;21292.0;2.07
2023-01-18 13:00:00;21403.31;CAI_2.0;21424.3;0.1;21042.73;-1.68;20845.47;-2.61;20887.85;-2.41;20936.83;-2.18;20906.54;-2.32
2023-01-18 14:00:00;21424.3;CAI_2.0;21042.73;-1.78;20845.47;-2.7;20887.85;-2.5;20936.83;-2.28;20906.54;-2.42;20732.6;-3.23
2023-01-20 13:00:00;21058.68;SOBE_2.0;21153.97;0.45;21144.77;0.41;21313.29;1.21;21353.61;1.4;21384.49;1.55;21496.67;2.08
2023-01-20 14:00:00;21153.97;SOBE_2.0;21144.77;-0.04;21313.29;0.75;21353.61;0.94;21384.49;1.09;21496.67;1.62;22288.37;5.36
2023-01-20 15:00:00;21144.77;SOBE_2.0;21313.29;0.8;21353.61;0.99;21384.49;1.13;21496.67;1.66;22288.37;5.41;22315.41;5.54
2023-01-20 16:00:00;21313.29;SOBE_2.0;21353.61;0.19;21384.49;0.33;21496.67;0.86;22288.37;4.57;22315.41;4.7;22595.08;6.01
2023-01-20 17:00:00;21353.61;SOBE_2.0;21384.49;0.14;21496.67;0.67;22288.37;4.38;22315.41;4.5;22595.08;5.81;22667.21;6.15
2023-01-20 18:00:00;21384.49;SOBE_2.0;21496.67;0.52;22288.37;4.23;22315.41;4.35;22595.08;5.66;22667.21;6.0;22576.17;5.57
2023-01-20 19:00:00;21496.67;SOBE_2.0;22288.37;3.68;22315.41;3.81;22595.08;5.11;22667.21;5.45;22576.17;5.02;22563.99;4.97
2023-01-21 03:00:00;22547.35;SOBE_2.0;22597.96;0.22;22573.98;0.12;22620.93;0.33;22638.36;0.4;22700.63;0.68;23037.49;2.17
2023-01-21 05:00:00;22573.98;SOBE_2.0;22620.93;0.21;22638.36;0.29;22700.63;0.56;23037.49;2.05;22777.52;0.9;22905.65;1.47
2023-01-21 17:00:00;23226.65;CAI_2.0;23248.52;0.09;23270.5;0.19;23093.38;-0.57;23204.64;-0.09;22759.71;-2.01;22783.55;-1.91
2023-01-21 18:00:00;23248.52;CAI_2.0;23270.5;0.09;23093.38;-0.67;23204.64;-0.19;22759.71;-2.1;22783.55;-2.0;22877.48;-1.6
2023-01-21 19:00:00;23270.5;CAI_2.0;23093.38;-0.76;23204.64;-0.28;22759.71;-2.2;22783.55;-2.09;22877.48;-1.69;22792.13;-2.06
2023-01-21 21:00:00;23204.64;CAI_2.0;22759.71;-1.92;22783.55;-1.81;22877.48;-1.41;22792.13;-1.78;22707.64;-2.14;22758.3;-1.92
2023-01-22 14:00:00;22990.41;CAI_2.0;22794.51;-0.85;22819.28;-0.74;22922.34;-0.3;22838.0;-0.66;22722.15;-1.17;22459.46;-2.31
2023-01-22 17:00:00;22922.34;CAI_2.0;22838.0;-0.37;22722.15;-0.87;22459.46;-2.02;22585.37;-1.47;22676.48;-1.07;22707.88;-0.94
2023-01-24 19:00:00;23018.53;CAI_2.0;23010.34;-0.04;22902.84;-0.5;22755.52;-1.14;22632.89;-1.68;22652.23;-1.59;22490.64;-2.29
2023-01-24 20:00:00;23010.34;CAI_2.0;22902.84;-0.47;22755.52;-1.11;22632.89;-1.64;22652.23;-1.56;22490.64;-2.26;22549.89;-2.0
2023-01-25 14:00:00;22435.47;SOBE_2.0;22577.86;0.63;22629.75;0.87;22568.94;0.59;22724.9;1.29;22748.86;1.4;22938.09;2.24
2023-01-25 15:00:00;22577.86;SOBE_2.0;22629.75;0.23;22568.94;-0.04;22724.9;0.65;22748.86;0.76;22938.09;1.6;23592.55;4.49
2023-01-25 16:00:00;22629.75;SOBE_2.0;22568.94;-0.27;22724.9;0.42;22748.86;0.53;22938.09;1.36;23592.55;4.25;22932.2;1.34
2023-01-25 17:00:00;22568.94;SOBE_2.0;22724.9;0.69;22748.86;0.8;22938.09;1.64;23592.55;4.54;22932.2;1.61;23060.94;2.18
2023-01-25 18:00:00;22724.9;SOBE_2.0;22748.86;0.11;22938.09;0.94;23592.55;3.82;22932.2;0.91;23060.94;1.48;23240.42;2.27
2023-01-25 19:00:00;22748.86;SOBE_2.0;22938.09;0.83;23592.55;3.71;22932.2;0.81;23060.94;1.37;23240.42;2.16;23163.24;1.82
2023-01-25 20:00:00;22938.09;SOBE_2.0;23592.55;2.85;22932.2;-0.03;23060.94;0.54;23240.42;1.32;23163.24;0.98;23178.98;1.05
2023-01-25 21:00:00;23592.55;CAI_2.0;22932.2;-2.8;23060.94;-2.25;23240.42;-1.49;23163.24;-1.82;23178.98;-1.75;23136.16;-1.93
2023-01-26 20:00:00;23112.57;CAI_2.0;23081.77;-0.13;23003.79;-0.47;23009.65;-0.45;22925.5;-0.81;22647.48;-2.01;22781.67;-1.43
2023-01-30 03:00:00;23701.44;CAI_2.0;23717.76;0.07;23728.71;0.12;23692.38;-0.04;23642.81;-0.25;23548.76;-0.64;23191.2;-2.15
2023-01-30 04:00:00;23717.76;CAI_2.0;23728.71;0.05;23692.38;-0.11;23642.81;-0.32;23548.76;-0.71;23191.2;-2.22;23243.54;-2.0
2023-01-30 05:00:00;23728.71;CAI_2.0;23692.38;-0.15;23642.81;-0.36;23548.76;-0.76;23191.2;-2.27;23243.54;-2.04;23077.47;-2.74
2023-01-30 06:00:00;23692.38;CAI_2.0;23642.81;-0.21;23548.76;-0.61;23191.2;-2.12;23243.54;-1.89;23077.47;-2.6;23076.27;-2.6
2023-01-30 07:00:00;23642.81;CAI_2.0;23548.76;-0.4;23191.2;-1.91;23243.54;-1.69;23077.47;-2.39;23076.27;-2.4;23057.19;-2.48
2023-01-30 08:00:00;23548.76;CAI_2.0;23191.2;-1.52;23243.54;-1.3;23077.47;-2.0;23076.27;-2.01;23057.19;-2.09;23287.7;-1.11
2023-01-30 14:00:00;23287.7;CAI_2.0;23178.51;-0.47;23170.38;-0.5;23108.94;-0.77;23138.83;-0.64;22784.86;-2.16;22697.83;-2.53
2023-01-30 15:00:00;23178.51;CAI_2.0;23170.38;-0.04;23108.94;-0.3;23138.83;-0.17;22784.86;-1.7;22697.83;-2.07;22743.7;-1.88
2023-01-30 16:00:00;23170.38;CAI_2.0;23108.94;-0.27;23138.83;-0.14;22784.86;-1.66;22697.83;-2.04;22743.7;-1.84;22729.81;-1.9
2023-02-01 14:00:00;23101.0;SOBE_2.0;22979.73;-0.52;22999.85;-0.44;22994.27;-0.46;23077.26;-0.1;23385.99;1.23;23573.11;2.04
2023-02-01 15:00:00;22979.73;SOBE_2.0;22999.85;0.09;22994.27;0.06;23077.26;0.42;23385.99;1.77;23573.11;2.58;23681.05;3.05
2023-02-01 16:00:00;22999.85;SOBE_2.0;22994.27;-0.02;23077.26;0.34;23385.99;1.68;23573.11;2.49;23681.05;2.96;23714.5;3.11
2023-02-01 17:00:00;22994.27;SOBE_2.0;23077.26;0.36;23385.99;1.7;23573.11;2.52;23681.05;2.99;23714.5;3.13;23732.66;3.21
2023-02-01 18:00:00;23077.26;SOBE_2.0;23385.99;1.34;23573.11;2.15;23681.05;2.62;23714.5;2.76;23732.66;2.84;24189.85;4.82
2023-02-01 19:00:00;23385.99;SOBE_2.0;23573.11;0.8;23681.05;1.26;23714.5;1.4;23732.66;1.48;24189.85;3.44;23950.55;2.41
2023-02-01 20:00:00;23573.11;SOBE_2.0;23681.05;0.46;23714.5;0.6;23732.66;0.68;24189.85;2.62;23950.55;1.6;23885.19;1.32
2023-02-01 21:00:00;23681.05;SOBE_2.0;23714.5;0.14;23732.66;0.22;24189.85;2.15;23950.55;1.14;23885.19;0.86;23848.6;0.71
